"","Post Odds or OR Ob","95% Cred Int Ob","Post Odds or OR MOb","95% Cred Int MOb","Post Mean Wt","95% Cred Int Wt"
"Intercept","1.412","[0.328, 4.658]","0.073","[0.026, 0.247]","92.277","[ 77.533, 110.463]"
"Neo-Local","1.567","[0.940, 2.559]","2.086","[1.202, 3.660]"," 2.177","[ -2.044,   6.491]"
"Mixed-Imported","1.910","[1.192, 3.022]","1.790","[1.027, 3.169]"," 5.129","[  1.138,   9.157]"
"Imported","2.542","[1.610, 4.088]","2.696","[1.546, 4.755]"," 9.398","[  5.424,  13.435]"
"Sex = F","0.999","[0.737, 1.366]","1.406","[1.017, 1.932]","-1.932","[ -4.614,   0.784]"
"Age (Centered)","1.016","[1.006, 1.028]","1.005","[0.994, 1.017]"," 0.069","[ -0.024,   0.160]"
"Education >HS","1.302","[0.841, 2.063]","1.090","[0.684, 1.695]"," 1.746","[ -1.960,   5.368]"
"Smoking = Yes","0.872","[0.626, 1.201]","1.122","[0.785, 1.577]"," 0.009","[ -2.923,   2.886]"
"Exercise = Med","1.435","[0.994, 2.010]","1.893","[1.298, 2.789]"," 4.482","[  1.430,   7.571]"
"Exercise = Low","1.138","[0.760, 1.733]","1.466","[0.951, 2.305]"," 0.889","[ -2.705,   4.422]"
"NCD = Yes","0.967","[0.640, 1.443]","1.347","[0.907, 1.989]"," 2.052","[ -1.335,   5.415]"
"Height (Centered)",NA,NA,NA,NA," 0.359","[  0.234,   0.482]"
